id,millis,sensor
856,7033,1023
857,7040,1023
858,7049,1023
859,7057,1019
860,7066,1023
861,7073,1023
862,7082,1023
863,7090,1023
864,7098,1023
865,7106,1023
866,7115,1023
867,7122,1023
868,7131,1023
869,7139,1022
870,7147,1019
871,7155,1020
872,7164,1023
873,7171,1023
874,7180,1023
875,7188,1023
876,7196,1023
877,7204,1023
878,7213,1023
879,7221,1020
880,7229,1022
881,7238,1023
882,7245,1023
883,7254,1023
884,7262,1023
885,7270,1023
886,7278,1023
887,7287,1023
888,7294,1023
889,7303,1023
890,7311,1023
891,7319,1023
892,7327,1023
893,7336,1023
894,7343,1023
895,7352,1021
896,7360,1022
897,7368,1023
898,7376,1023
899,7385,1023
900,7392,1023
901,7401,1023
902,7409,1023
903,7417,1020
904,7426,1009
905,7434,996
906,7442,1000
907,7450,1010
908,7459,1018
909,7466,1023
910,7475,1023
911,7483,1016
912,7492,1016
913,7499,1016
914,7508,1013
915,7515,1008
916,7524,1002
917,7532,998
918,7540,992
919,7548,988
920,7557,989
921,7565,986
922,7573,983
923,7581,982
924,7590,981
925,7598,979
926,7606,977
927,7614,975
928,7622,980
929,7631,984
930,7638,980
931,7647,980
932,7655,969
933,7663,957
934,7672,948
935,7679,941
936,7688,940
937,7696,944
938,7704,950
939,7712,954
940,7721,953
941,7728,948
942,7737,939
943,7745,928
944,7753,923
945,7761,919
946,7770,916
947,7778,914
948,7786,909
949,7794,906
950,7802,903
951,7811,899
952,7819,896
953,7827,897
954,7835,901
955,7844,900
956,7851,895
957,7860,888
958,7868,883
959,7876,873
960,7884,864
961,7893,861
962,7900,861
963,7909,866
964,7917,867
965,7925,872
966,7934,878
967,7942,876
968,7950,872
969,7958,868
970,7967,857
971,7974,848
972,7983,848
973,7991,851
974,7999,855
975,8007,861
976,8016,869
977,8023,875
978,8032,872
979,8040,868
980,8048,864
981,8056,858
982,8065,859
983,8073,857
984,8081,857
985,8090,851
986,8097,846
987,8106,845
988,8114,845
989,8122,843
990,8130,843
991,8139,845
992,8146,842
993,8155,833
994,8162,831
995,8171,839
996,8179,846
997,8188,851
998,8196,852
999,8204,855
1000,8213,856
1001,8220,857
1002,8229,854
1003,8236,851
1004,8245,847
1005,8253,840
1006,8261,839
1007,8269,841
1008,8278,847
1009,8285,853
1010,8294,856
1011,8302,855
1012,8310,852
1013,8318,854
1014,8327,857
1015,8335,856
1016,8343,855
1017,8352,852
1018,8359,848
1019,8368,843
1020,8376,838
1021,8384,835
1022,8392,838
1023,8401,846
1024,8408,852
1025,8417,858
1026,8425,860
1027,8433,861
1028,8441,864
1029,8450,860
1030,8457,855
1031,8466,853
1032,8475,850
1033,8482,848
1034,8491,847
1035,8499,845
1036,8507,844
1037,8515,843
1038,8524,847
1039,8531,851
1040,8540,856
1041,8548,862
1042,8556,864
1043,8564,858
1044,8573,848
1045,8580,844
1046,8589,843
1047,8598,843
1048,8606,842
1049,8613,841
1050,8622,842
1051,8630,844
1052,8638,847
1053,8647,847
1054,8654,845
1055,8663,845
1056,8670,850
1057,8679,851
1058,8688,852
1059,8695,852
1060,8704,847
1061,8711,842
1062,8720,840
1063,8728,834
1064,8736,831
1065,8744,835
1066,8753,838
1067,8760,837
1068,8769,835
1069,8777,836
1070,8785,835
1071,8794,833
1072,8802,831
1073,8811,828
1074,8818,823
1075,8827,819
1076,8834,817
1077,8843,820
1078,8851,821
1079,8859,821
1080,8867,820
1081,8876,817
1082,8883,817
1083,8892,806
1084,8900,799
1085,8908,790
1086,8917,780
1087,8925,774
1088,8933,772
1089,8941,771
1090,8950,772
1091,8957,779
1092,8966,776
1093,8974,773
1094,8982,768
1095,8990,762
1096,8999,756
1097,9006,751
1098,9015,746
1099,9023,741
1100,9031,742
1101,9039,740
1102,9048,735
1103,9056,734
1104,9064,736
1105,9073,736
1106,9084,730
1107,9093,724
1108,9101,725
1109,9109,719
1110,9118,716
1111,9125,726
1112,9134,733
1113,9142,735
1114,9150,737
1115,9158,735
1116,9166,725
1117,9174,712
1118,9183,714
1119,9191,713
1120,9199,712
1121,9208,726
1122,9215,731
1123,9224,734
1124,9232,739
1125,9240,734
1126,9248,713
1127,9257,700
1128,9264,690
1129,9273,689
1130,9281,699
1131,9289,704
1132,9297,701
1133,9306,698
1134,9314,701
1135,9322,704
1136,9331,707
1137,9338,702
1138,9347,698
1139,9355,683
1140,9363,681
1141,9371,686
1142,9380,690
1143,9387,698
1144,9396,698
1145,9403,692
1146,9412,695
1147,9421,694
1148,9428,689
1149,9437,689
1150,9445,698
1151,9453,699
1152,9461,701
1153,9470,696
1154,9477,682
1155,9486,675
1156,9494,674
1157,9502,673
1158,9510,676
1159,9519,680
1160,9526,683
1161,9535,686
1162,9544,692
1163,9551,688
1164,9560,692
1165,9568,693
1166,9576,687
1167,9584,688
1168,9592,688
1169,9601,685
1170,9609,683
1171,9616,685
1172,9625,686
1173,9633,688
1174,9641,688
1175,9649,684
1176,9658,686
1177,9666,684
1178,9674,684
1179,9682,689
1180,9691,672
1181,9699,673
1182,9707,695
1183,9715,703
1184,9723,695
1185,9732,691
1186,9739,691
1187,9748,689
1188,9756,686
1189,9764,687
1190,9772,688
1191,9781,692
1192,9789,685
1193,9797,683
1194,9806,686
1195,9813,687
1196,9822,699
1197,9830,700
1198,9838,699
1199,9846,699
1200,9855,687
1201,9862,679
1202,9871,675
1203,9879,673
1204,9887,672
1205,9895,675
1206,9904,665
1207,9912,656
1208,9920,652
1209,9929,651
1210,9936,653
1211,9945,660
1212,9953,667
1213,9961,675
1214,9969,685
1215,9978,694
1216,9985,705
1217,9994,711
1218,10002,711
